DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						1.0	77	77	75	8	8	0	0	0	1.0	2	0	0	2	0	0	0	0	0	0	0	0	0	75	0	0	2
input_msa						10.1	147	120	95	20	5	2	0	13	9.2	10	1	2	0	2	0	0	0	0	0	1	2	2	69	25	17	35
input_msa						7.57143	86	80	56	14	4	2	1	7	5.28571	7	2	1	0	0	1	0	1	0	0	0	0	1	52	2	3	11
input_msa						9.65517	180	151	77	29	6	1	3	19	12.6875	16	1	1	0	1	0	0	1	1	0	5	2	1	72	19	34	28
input_msa						16.5	79	78	19	6	3	0	1	2	24.25	4	0	0	0	0	0	0	1	0	0	2	0	0	19	26	30	1
input_msa						8.0	158	153	103	15	3	4	4	4	14.7143	7	0	0	0	0	0	1	0	0	1	4	0	0	92	24	36	6
input_msa						16.5455	176	167	84	11	0	0	0	11	18.2857	7	0	0	0	0	0	0	0	0	0	5	1	1	74	66	1	9
input_msa						6.83333	108	89	80	18	3	0	1	14	6.625	8	0	0	0	0	0	0	1	0	0	2	2	2	61	20	2	24
input_msa						15.8462	97	92	32	13	4	2	0	7	18.1667	6	0	0	1	0	1	0	0	0	0	2	1	0	32	9	11	40
input_msa						2.85185	118	107	98	27	10	4	3	10	3.54545	11	2	0	2	0	0	1	0	0	0	3	0	1	86	17	0	15
input_msa						5.11111	157	138	101	36	10	4	5	17	5.05882	17	4	3	0	0	0	1	0	1	0	2	2	2	87	11	29	25
input_msa						17.1481	223	177	83	27	4	8	0	15	20.2857	14	0	0	1	0	0	2	0	0	0	8	2	0	64	19	29	53
input_msa						3.88462	97	87	51	26	8	6	5	7	5.0	14	2	0	0	1	1	0	1	0	1	3	2	0	38	38	6	6
