DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						2.46429	121	112	99	28	9	9	3	7	2.6	15	3	0	0	3	0	0	0	0	0	3	0	1	88	19	1	9
input_msa						5.0	100	100	90	8	0	4	0	4	5.0	2	0	0	0	0	0	1	0	0	0	0	0	1	90	0	0	10
input_msa						16.2857	161	128	107	14	1	0	0	13	11.7143	7	1	0	0	0	0	0	0	0	0	2	2	1	84	13	10	33
input_msa						7.92	115	102	68	25	10	2	3	10	5.63636	11	2	1	0	0	1	0	0	0	0	2	0	2	55	12	1	43
input_msa						4.05882	101	91	85	17	2	7	3	5	4.42857	7	0	1	0	0	0	1	1	1	0	1	0	1	75	10	1	12
input_msa						9.72222	144	119	104	18	4	0	0	14	10.1111	9	1	0	0	0	0	0	0	0	0	3	2	1	78	26	3	32
input_msa						2.0	102	102	100	4	0	4	0	0	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	2
input_msa						6.18182	134	116	102	22	8	3	1	10	6.27273	11	1	0	1	0	0	0	1	0	0	4	1	1	74	27	8	18
input_msa						6.63636	133	123	87	22	4	5	1	12	6.41667	12	1	0	0	2	0	0	1	0	0	3	1	1	75	23	8	26
input_msa						4.07692	89	83	65	13	7	1	0	5	5.57143	7	1	1	1	1	0	0	0	0	0	2	0	0	58	23	1	7
input_msa						11.5	211	175	100	32	1	2	3	26	11.125	24	1	0	0	2	0	0	1	1	0	14	3	0	48	56	41	32
input_msa						7.11111	133	115	83	27	2	9	7	9	5.9	10	0	1	0	1	0	2	1	1	1	1	0	2	77	9	1	43
input_msa						9.5	86	86	60	8	0	0	0	8	10.75	4	0	0	0	0	0	0	0	0	0	1	2	0	59	10	1	16
input_msa						16.25	132	122	82	12	4	0	0	8	19.6	5	0	0	1	0	0	0	0	0	0	2	0	0	81	3	0	48
input_msa						13.55	129	110	55	20	3	0	0	17	12.1667	12	3	0	0	0	0	0	0	0	0	5	2	2	36	24	2	42
input_msa						10.5833	110	87	79	12	2	0	1	9	12.0	6	0	1	0	0	0	0	1	0	0	2	0	1	54	32	0	23
input_msa						6.5	92	92	46	8	2	3	1	2	7.28571	7	0	1	0	3	0	0	1	0	0	2	0	0	42	49	0	0
input_msa						3.0	103	95	82	23	5	9	2	7	3.81818	11	1	0	1	0	1	1	0	1	0	3	2	0	73	14	2	9
input_msa						13.381	134	115	57	21	3	5	0	13	14.0	10	1	1	0	0	1	0	0	0	0	3	0	1	49	17	1	61
input_msa						4.82609	119	104	94	23	8	4	4	7	4.2	10	0	1	0	1	0	0	0	0	1	3	0	1	80	14	1	23
input_msa						13.25	210	185	89	28	0	8	0	20	16.8824	17	0	0	0	0	2	1	0	0	0	10	3	1	63	52	23	57
input_msa						0.0	92	92	92	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0
input_msa						9.66667	169	165	95	15	5	3	0	7	10.7778	9	1	2	0	0	0	0	0	0	0	3	2	0	92	46	11	17
input_msa						2.44444	89	87	82	9	2	4	0	3	2.0	4	2	0	0	0	0	1	0	0	0	0	0	0	81	2	0	2
input_msa						5.52941	116	113	92	17	8	1	0	8	4.33333	6	1	0	1	1	0	0	0	0	0	0	0	2	90	3	0	22
input_msa						7.55556	155	142	100	27	6	0	6	15	5.86667	15	4	1	0	0	0	0	2	0	1	3	2	2	90	12	9	42
input_msa						6.57143	105	104	63	7	5	0	1	1	10.75	4	1	0	1	0	0	0	1	0	0	1	0	0	62	42	0	1
input_msa						2.5	109	104	90	22	14	3	0	5	2.58333	12	5	1	1	0	0	0	0	0	0	2	0	0	80	17	1	3
input_msa						6.0	90	90	80	6	0	2	0	4	5.0	2	0	0	0	0	1	0	0	0	0	0	0	1	80	0	2	8
input_msa						5.0	104	93	58	21	7	6	0	8	6.36364	11	2	1	0	0	1	1	0	0	0	4	0	1	44	38	9	10
input_msa						5.97297	174	144	108	37	14	7	1	15	7.72727	22	2	4	1	1	1	1	1	0	0	7	4	0	72	35	28	13
