RIM A_D,1.5935564
RIM A_I,1.5395507000000002
RIM RL,83.26
RIM R_D,0.0350269299999999
RIM R_I,0.02605782
SIM A_ID,1.5228205
SIM RL,83.08
SIM R_ID,0.071362
chosen model,SIM
