DISTANCE	RL	AIR	ADR	IR	DR	AVG_GAP_SIZE	MSA_LEN	MSA_MAX_LEN	MSA_MIN_LEN	TOT_NUM_GAPS	NUM_GAPS_LEN_ONE	NUM_GAPS_LEN_TWO	NUM_GAPS_LEN_THREE	NUM_GAPS_LEN_AT_LEAST_FOUR	AVG_UNIQUE_GAP_SIZE	TOT_NUM_UNIQE_GAPS	NUM_GAPS_LEN_ONE_POS_1_GAPS	NUM_GAPS_LEN_ONE_POS_2_GAPS	NUM_GAPS_LEN_ONE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_TWO_POS_1_GAPS	NUM_GAPS_LEN_TWO_POS_2_GAPS	NUM_GAPS_LEN_TWO_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_THREE_POS_1_GAPS	NUM_GAPS_LEN_THREE_POS_2_GAPS	NUM_GAPS_LEN_THREE_POS_N_MINUS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_1_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_2_GAPS	NUM_GAPS_LEN_AT_LEAST_FOUR_POS_N_MINUS_1_GAPS	MSA_POSITION_WITH_0_GAPS	MSA_POSITION_WITH_1_GAPS	MSA_POSITION_WITH_2_GAPS	MSA_POSITION_WITH_N_MINUS_1_GAPS
input_msa						0.0	70	70	70	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0
input_msa						0.0	71	71	71	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
input_msa						1.0	79	79	78	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	78	0	0	1
input_msa						5.88889	76	67	55	9	0	4	0	5	5.75	4	0	0	0	1	0	1	0	0	0	0	1	1	55	0	10	11
input_msa						2.66667	71	71	65	3	2	0	0	1	3.5	2	0	1	0	0	0	0	0	0	0	1	0	0	65	5	0	1
input_msa						5.16667	76	75	57	6	4	0	0	2	7.25	4	1	0	1	0	0	0	0	0	0	2	0	0	47	28	0	1
input_msa						3.0	91	91	88	1	0	0	1	0	3.0	1	0	0	0	0	0	0	1	0	0	0	0	0	88	3	0	0
input_msa						19.0	108	108	82	4	1	0	0	3	13.0	2	1	0	0	0	0	0	0	0	0	0	0	1	82	1	0	25
input_msa						0.0	78	78	78	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0
input_msa						26.4	112	112	65	5	0	0	0	5	23.5	2	0	0	0	0	0	0	0	0	0	0	1	1	65	0	9	38
input_msa						0.0	89	89	89	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0
input_msa						0.0	66	66	66	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0
input_msa						2.0	71	71	69	3	0	3	0	0	2.0	1	0	0	0	0	0	1	0	0	0	0	0	0	69	0	0	2
input_msa						9.4	95	95	76	5	0	1	0	4	7.0	3	0	0	0	1	0	0	0	0	0	1	0	1	74	8	0	13
input_msa						4.66667	86	86	81	3	0	0	0	3	4.5	2	0	0	0	0	0	0	0	0	0	1	1	0	81	0	1	4
input_msa						3.54545	90	87	74	11	3	3	3	2	5.4	5	0	0	1	0	0	1	0	0	1	2	0	0	73	1	10	6
input_msa						0.0	63	63	63	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
input_msa						5.0	68	68	63	3	0	0	0	3	5.0	1	0	0	0	0	0	0	0	0	0	0	0	1	63	0	0	5
input_msa						0.0	63	63	63	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
input_msa						7.0	82	82	43	6	4	0	0	2	10.0	4	1	0	1	0	0	0	0	0	0	2	0	0	42	39	0	1
input_msa						11.6667	93	93	74	3	0	1	0	2	11.6667	3	0	0	0	1	0	0	0	0	0	2	0	0	74	3	16	0
input_msa						7.0	79	79	70	2	0	0	0	2	7.0	2	0	0	0	0	0	0	0	0	0	2	0	0	65	14	0	0
input_msa						2.5	89	89	84	6	3	0	0	3	2.5	2	0	0	1	0	0	0	0	0	0	0	0	1	84	0	0	5
input_msa						9.0	76	76	59	3	1	0	0	2	9.0	3	1	0	0	0	0	0	0	0	0	2	0	0	49	27	0	0
input_msa						2.57143	94	93	85	7	3	1	2	1	3.25	4	0	0	1	1	0	0	0	1	0	1	0	0	84	6	0	4
input_msa						5.0	90	90	85	3	0	0	0	3	5.0	1	0	0	0	0	0	0	0	0	0	0	0	1	85	0	0	5
input_msa						27.0	79	79	40	2	0	0	0	2	27.0	2	0	0	0	0	0	0	0	0	0	2	0	0	25	54	0	0
input_msa						2.5	92	89	82	12	6	3	0	3	2.5	4	0	0	2	0	0	1	0	0	0	0	0	1	82	0	0	10
input_msa						1.5	65	65	63	2	1	1	0	0	1.5	2	1	0	0	1	0	0	0	0	0	0	0	0	62	3	0	0
input_msa						18.0	83	83	65	1	0	0	0	1	18.0	1	0	0	0	0	0	0	0	0	0	1	0	0	65	18	0	0
input_msa						0.0	82	82	82	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0
input_msa						8.8	82	80	66	5	0	2	0	3	9.33333	3	0	0	0	0	1	0	0	0	0	1	1	0	56	10	14	2
input_msa						1.0	85	85	84	2	2	0	0	0	1.0	1	0	1	0	0	0	0	0	0	0	0	0	0	84	0	1	0
input_msa						0.0	72	72	72	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
input_msa						2.33333	74	74	71	3	0	2	1	0	2.5	2	0	0	0	0	1	0	1	0	0	0	0	0	71	1	0	2
input_msa						2.83333	95	93	88	6	0	3	2	1	3.33333	3	0	0	0	0	0	1	0	1	0	1	0	0	88	2	0	5
input_msa						21.0	91	91	70	3	0	0	0	3	21.0	1	0	0	0	0	0	0	0	0	0	0	0	1	70	0	0	21
input_msa						1.0	78	78	76	2	2	0	0	0	1.0	2	2	0	0	0	0	0	0	0	0	0	0	0	76	2	0	0
input_msa						8.0	72	72	64	3	0	0	0	3	8.0	1	0	0	0	0	0	0	0	0	0	0	0	1	64	0	0	8
input_msa						1.0	79	79	78	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	78	0	0	1
input_msa						2.0	69	69	67	1	0	1	0	0	2.0	1	0	0	0	1	0	0	0	0	0	0	0	0	67	2	0	0
input_msa						1.0	73	73	71	4	4	0	0	0	1.0	2	1	0	1	0	0	0	0	0	0	0	0	0	71	1	0	1
input_msa						17.4	79	79	22	5	0	0	0	5	24.0	3	0	0	0	0	0	0	0	0	0	1	2	0	22	42	0	15
input_msa						12.5	114	112	89	6	0	3	0	3	12.5	2	0	0	0	0	0	1	0	0	0	0	0	1	89	0	0	25
input_msa						50.0	131	131	81	3	0	0	0	3	50.0	1	0	0	0	0	0	0	0	0	0	0	0	1	81	0	0	50
input_msa						11.0	67	67	30	4	1	0	2	1	13.6667	3	1	0	0	0	0	0	0	1	0	1	0	0	30	33	1	3
input_msa						8.22222	89	84	62	9	0	1	2	6	6.75	4	0	0	0	1	0	0	0	1	0	0	0	2	62	2	3	22
input_msa						9.66667	65	65	37	3	1	0	0	2	9.66667	3	1	0	0	0	0	0	0	0	0	2	0	0	37	27	1	0
input_msa						12.3333	98	98	82	3	0	0	0	3	12.3333	3	0	0	0	0	0	0	0	0	0	3	0	0	82	4	3	9
input_msa						6.0	65	65	50	4	2	0	0	2	7.66667	3	0	1	0	0	0	0	0	0	0	2	0	0	42	22	1	0
input_msa						1.22222	79	78	75	9	7	2	0	0	1.25	4	1	0	2	0	1	0	0	0	0	0	0	0	75	0	1	3
input_msa						6.0	73	73	57	4	0	0	0	4	8.0	2	0	0	0	0	0	0	0	0	0	1	0	1	57	12	0	4
input_msa						6.0	95	94	83	6	3	0	0	3	6.0	2	0	0	1	0	0	0	0	0	0	0	0	1	83	0	0	12
input_msa						4.0	95	95	91	3	0	0	0	3	4.0	1	0	0	0	0	0	0	0	0	0	0	0	1	91	0	0	4
input_msa						1.5	79	79	77	2	1	1	0	0	1.5	2	1	0	0	1	0	0	0	0	0	0	0	0	76	3	0	0
input_msa						15.0	69	69	54	1	0	0	0	1	15.0	1	0	0	0	0	0	0	0	0	0	1	0	0	54	15	0	0
input_msa						1.0	70	70	69	2	2	0	0	0	1.0	1	0	1	0	0	0	0	0	0	0	0	0	0	69	0	1	0
input_msa						1.0	73	73	72	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	72	0	0	1
input_msa						10.25	99	91	88	4	0	0	0	4	9.5	2	0	0	0	0	0	0	0	0	0	1	0	1	80	8	0	11
input_msa						14.0	114	110	72	9	3	0	3	3	14.0	3	0	0	1	0	0	0	0	0	1	0	0	1	72	0	0	42
input_msa						1.5	89	87	84	10	6	3	1	0	1.75	4	0	0	2	0	0	1	1	0	0	0	0	0	82	3	0	4
input_msa						1.0	66	66	65	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	65	1	0	0
input_msa						6.0	87	86	75	6	3	0	0	3	6.0	2	0	0	1	0	0	0	0	0	0	0	0	1	75	0	0	12
input_msa						2.2	85	84	80	5	3	0	0	2	3.0	3	0	0	1	0	0	0	0	0	0	2	0	0	76	8	0	1
input_msa						1.0	88	88	87	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	87	1	0	0
input_msa						1.0	68	68	66	5	5	0	0	0	1.0	3	2	0	1	0	0	0	0	0	0	0	0	0	65	2	0	1
input_msa						5.0	78	78	69	3	1	0	0	2	5.0	3	1	0	0	0	0	0	0	0	0	2	0	0	68	5	5	0
input_msa						6.0	89	89	75	3	1	0	1	1	6.0	3	1	0	0	0	0	0	1	0	0	1	0	0	72	16	1	0
input_msa						3.0	71	71	68	1	0	0	1	0	3.0	1	0	0	0	0	0	0	1	0	0	0	0	0	68	3	0	0
input_msa						16.3333	69	69	30	3	0	0	0	3	22.0	2	0	0	0	0	0	0	0	0	0	1	1	0	26	38	4	1
input_msa						3.66667	79	79	70	3	2	0	0	1	5.0	2	0	1	0	0	0	0	0	0	0	1	0	0	69	9	1	0
input_msa						1.5	92	91	89	6	3	3	0	0	1.5	2	0	0	1	0	0	1	0	0	0	0	0	0	89	0	0	3
input_msa						6.0	70	70	64	3	0	0	0	3	6.0	1	0	0	0	0	0	0	0	0	0	0	0	1	64	0	0	6
input_msa						1.33333	92	91	87	9	6	3	0	0	1.25	4	1	1	1	0	0	1	0	0	0	0	0	0	87	1	1	3
input_msa						2.0	77	77	73	4	0	4	0	0	2.0	2	0	0	0	1	0	1	0	0	0	0	0	0	73	2	0	2
input_msa						4.66667	74	74	61	3	1	0	0	2	4.66667	3	1	0	0	0	0	0	0	0	0	2	0	0	60	14	0	0
input_msa						6.0	70	70	59	2	1	0	0	1	6.0	2	1	0	0	0	0	0	0	0	0	1	0	0	58	12	0	0
input_msa						1.0	65	65	64	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	64	1	0	0
input_msa						2.28571	74	73	68	7	4	0	0	3	2.0	3	1	0	1	0	0	0	0	0	0	0	0	1	68	1	0	5
input_msa						4.0	74	74	70	1	0	0	0	1	4.0	1	0	0	0	0	0	0	0	0	0	1	0	0	70	4	0	0
input_msa						0.0	75	75	75	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
input_msa						1.66667	72	72	70	3	1	2	0	0	1.5	2	1	0	0	0	1	0	0	0	0	0	0	0	70	0	1	1
input_msa						3.0	85	85	76	4	2	1	0	1	3.66667	3	0	1	0	1	0	0	0	0	0	1	0	0	75	9	0	1
input_msa						1.0	74	74	73	2	2	0	0	0	1.0	2	2	0	0	0	0	0	0	0	0	0	0	0	72	2	0	0
input_msa						1.0	71	71	69	2	2	0	0	0	1.0	2	2	0	0	0	0	0	0	0	0	0	0	0	69	2	0	0
input_msa						1.0	63	63	62	1	1	0	0	0	1.0	1	1	0	0	0	0	0	0	0	0	0	0	0	62	1	0	0
input_msa						0.0	72	72	72	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
input_msa						0.0	80	80	80	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0
input_msa						0.0	82	82	82	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0
input_msa						5.8	68	66	45	5	0	4	0	1	8.33333	3	0	0	0	1	0	1	0	0	0	1	0	0	43	23	0	2
input_msa						1.0	77	77	76	3	3	0	0	0	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	76	0	0	1
input_msa						1.4	64	63	60	5	4	0	1	0	1.66667	3	1	0	1	0	0	0	1	0	0	0	0	0	59	4	0	1
input_msa						3.75	77	74	73	4	0	0	1	3	3.5	2	0	0	0	0	0	0	1	0	0	0	0	1	70	3	0	4
input_msa						11.3333	74	74	57	3	1	0	0	2	11.3333	3	1	0	0	0	0	0	0	0	0	2	0	0	56	2	16	0
input_msa						1.75	74	74	69	4	3	0	0	1	2.5	2	0	0	1	0	0	0	0	0	0	1	0	0	69	4	0	1
input_msa						0.0	84	84	84	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0
input_msa						8.0	81	81	65	6	3	0	0	3	8.0	2	0	0	1	0	0	0	0	0	0	0	0	1	65	0	0	16
input_msa						4.42857	90	89	76	7	3	1	0	3	4.5	4	0	0	1	1	0	0	0	0	0	1	1	0	72	6	11	1
input_msa						4.0	77	77	73	3	0	0	0	3	4.0	1	0	0	0	0	0	0	0	0	0	0	0	1	73	0	0	4
input_msa						0.0	74	74	74	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
input_msa						0.0	75	75	75	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
input_msa						6.8	80	80	64	5	1	0	0	4	5.33333	3	1	0	0	0	0	0	0	0	0	1	0	1	64	7	0	9
input_msa						1.2	76	75	73	5	4	1	0	0	1.33333	3	1	0	1	1	0	0	0	0	0	0	0	0	72	3	0	1
