RIM A_D,1.4879100999999997
RIM A_I,1.5915762999999998
RIM RL,87.59
RIM R_D,0.00584016
RIM R_I,0.00435104
SIM A_ID,1.5566973000000002
SIM RL,93.25
SIM R_ID,0.00332294
chosen model,SIM
