RIM A_D,1.5318877999999998
RIM A_I,1.8059658000000005
RIM RL,77.37
RIM R_D,0.0425712599999999
RIM R_I,0.03796744
SIM A_ID,1.6533867
SIM RL,81.16
SIM R_ID,0.06811264
chosen model,SIM
